_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,geometry
23,751,BE-00084,3145,Lake Shore Blvd W,Lake Shore Blvd W,South,Sixteenth St,West,00724,03,None,Standard,Existing,B0600724,,"{'type': 'MultiPoint', 'coordinates': [[-79.5164218666798, 43.5981976985231]]}"
24,752,BE-00086,5822,Bathurst St,Bathurst St,West,Kenton Dr,North,03119,06,None,Standard,Existing,B1003119,,"{'type': 'MultiPoint', 'coordinates': [[-79.444252068802, 43.7780926949777]]}"
25,753,BE-00093,76,Firvalley Crt,Warden Ave,West,Firvalley Crt,North,06360,20,None,Standard,Existing,B3506360,,"{'type': 'MultiPoint', 'coordinates': [[-79.2777792898562, 43.7039067346873]]}"
26,754,BE-00095,834,The Queensway,The Queensway,North,Loma Rd,East,04404,03,Shop The Queensway,Standard,Existing,B0504404,,"{'type': 'MultiPoint', 'coordinates': [[-79.508521575955, 43.6251329948597]]}"
27,755,BE-00097,165,The Queensway,The Queensway,South,Stephen Dr,West,01773,03,None,Standard,Existing,B0501773,,"{'type': 'MultiPoint', 'coordinates': [[-79.4845334706297, 43.6301773423304]]}"
28,756,BE-00532,5341,Dundas St W,Dundas St W,South,Acorn Ave,West,05934,03,None,Mini,Existing,B0505934,,"{'type': 'MultiPoint', 'coordinates': [[-79.5390976011289, 43.6369791103331]]}"
29,757,BE-00534,5137-9,Dundas St W,Dundas St W,South,Dunbloor Rd,East,05935,03,Village of Islington,Mini,Existing,B0505935,,"{'type': 'MultiPoint', 'coordinates': [[-79.5330730151862, 43.6438264422398]]}"
30,792,BE-00002,415,Rexdale Blvd,Rexdale Blvd,South,Queen's Plate Dr,East,04490,01,None,Standard,Existing,B0204490,,"{'type': 'MultiPoint', 'coordinates': [[-79.5921771086175, 43.7162219660198]]}"
31,924,BE-00103,570,Kipling Ave,Evans Ave,South,Kipling Ave,West,04037,03,None,Standard,Existing,B0604037,,"{'type': 'MultiPoint', 'coordinates': [[-79.5249270461244, 43.6157518831966]]}"
32,925,BE-00105,3757,Bathurst St,Bathurst St,East,Southbourne Ave,South,06074,06,None,Standard,Existing,B1006074,,"{'type': 'MultiPoint', 'coordinates': [[-79.4340737713236, 43.7382678911788]]}"
33,926,BE-00109,None,None,Steeles Ave W,North,Weston Rd,East,03401,07,None,Standard,Existing,B0703401,,"{'type': 'MultiPoint', 'coordinates': [[-79.5460081976491, 43.7705707333278]]}"
34,927,BE-00113,2773,Islington Ave,Finch Ave W,South,Islington Ave,East,01785,07,None,Standard,Temporarily Removed,B0701785,,"{'type': 'MultiPoint', 'coordinates': [[-79.5679768800002, 43.7462093178264]]}"
35,928,BE-00118,2100,Jane St,Jane St,West,Beverly Hills Dr,North,03563,07,None,Standard,Existing,B0703563,,"{'type': 'MultiPoint', 'coordinates': [[-79.5083572799087, 43.7192444893992]]}"
36,929,BE-00120,2161,St Clair Ave W,St Clair Ave W,South,Old Stock Yards Rd,West,00904,05,None,Standard,Existing,B1100904,,"{'type': 'MultiPoint', 'coordinates': [[-79.4738144530724, 43.6710161663657]]}"
37,930,BE-00124,1955,Don Mills Rd,Don Mills Rd,East,Graydon Hall Dr,South,T1940,16,None,Mini,Existing,B3401940,,"{'type': 'MultiPoint', 'coordinates': [[-79.3469908988064, 43.7615214942403]]}"
38,931,BE-00126,2100,Finch Ave W,Norfinch Dr,West,Finch Ave W,North,03489,07,None,Standard,Existing,B0803489,,"{'type': 'MultiPoint', 'coordinates': [[-79.5245633053231, 43.7562236090573]]}"
39,932,BE-00130,28,Driftwood Ave,Driftwood Ave,West,Yorkwoods Gt,South,03697,07,None,Standard,Existing,B0803697,,"{'type': 'MultiPoint', 'coordinates': [[-79.5119471136136, 43.7505415202616]]}"
40,933,BE-00134,2801,Jane St,Jane St,East,Yorkwoods Gt,South,01791,07,None,Standard,Existing,B0801791,,"{'type': 'MultiPoint', 'coordinates': [[-79.5158164197832, 43.7505644174507]]}"
41,934,BE-00136,555,Sherbourne St,Sherbourne St,East,Isabella St,South,00559,13,None,Standard,Temporarily Removed,B2800559,,"{'type': 'MultiPoint', 'coordinates': [[-79.3755462182354, 43.6693533488114]]}"
42,935,BE-00143,2669,Jane St,Jane St,East,Sheppard Ave W,South,01795,06,None,Standard,Existing,B0901795,,"{'type': 'MultiPoint', 'coordinates': [[-79.5129491265096, 43.739167353706]]}"
43,936,BE-00145,2699,Jane St,Sheppard Ave W,North,Jane St,East,01798,07,None,Standard,Existing,B0901798,,"{'type': 'MultiPoint', 'coordinates': [[-79.5128898893919, 43.7396030374806]]}"
44,937,BE-00147,5,Sunnydene Cres,Bayview Ave,West,Sunnydene Cres,South,03574,15,None,Standard,Existing,B2503574,,"{'type': 'MultiPoint', 'coordinates': [[-79.3788122041757, 43.7195768317604]]}"
45,938,BE-00149,3840,Bathurst St,Bathurst St,West,Allingham Gdns,South,01804,06,None,Standard,Existing,B1001804,,"{'type': 'MultiPoint', 'coordinates': [[-79.4347802231705, 43.739999357226]]}"
46,940,BE-00156,3995,Bathurst St,Bathurst St,East,Raeburn Ave,South,03338,06,None,Standard,Existing,B1003338,,"{'type': 'MultiPoint', 'coordinates': [[-79.4355080871316, 43.7440628381895]]}"
47,942,BE-00166,787,Steeles Ave W,Steeles Ave W,South,Bathurst St,East,01816,18,None,Standard,Existing,B1001816,,"{'type': 'MultiPoint', 'coordinates': [[-79.4445817921914, 43.7925426229018]]}"
48,943,BE-00168,1027,Steeles Ave W,Steeles Ave W,South,Carpenter Rd,West,01817,06,None,Standard,Existing,B1001817,,"{'type': 'MultiPoint', 'coordinates': [[-79.4478976650544, 43.7918160806414]]}"
49,944,BE-00170,1301,Steeles Ave W,Steeles Ave W,South,Torresdale Ave,West,01818,06,None,Standard,Existing,B1001818,,"{'type': 'MultiPoint', 'coordinates': [[-79.4533120731004, 43.7906496228243]]}"
50,945,BE-00172,38,The Kingsway,The Kingsway,West,Riverside Dr,North,01011,03,None,Standard,Existing,B1301011,,"{'type': 'MultiPoint', 'coordinates': [[-79.4764985075409, 43.6380784165288]]}"
51,947,BE-00176,1900,Sheppard Ave W,Sheppard Ave W,North,Magellan Dr,East,06236,07,None,Mini,Existing,B0906236,,"{'type': 'MultiPoint', 'coordinates': [[-79.509502672028, 43.7398466272469]]}"
52,948,BE-00182,2654,Eglinton Ave W,Eglinton Ave W,North,Keele St,West,01822,05,Eglinton Hill,Standard,Temporarily Removed,B1201822,,"{'type': 'MultiPoint', 'coordinates': [[-79.4742907156755, 43.6904245371684]]}"
53,949,BE-00188,670,Trethewey Dr,Trethewey Dr,North,Chiswick Ave,West,00941,05,None,Standard,Existing,B1200941,,"{'type': 'MultiPoint', 'coordinates': [[-79.4978270622737, 43.6973581868812]]}"
54,950,BE-00192,260,Heath St W,Heath St W,North,Lonsmount Dr,East,00483,12,None,Standard,Existing,B2100483,,"{'type': 'MultiPoint', 'coordinates': [[-79.4163460452659, 43.6860172172281]]}"
55,951,BE-00195,1387,Bayview Ave,Bayview Ave,East,Mcrae Dr,South,01867,15,None,Standard,Existing,B2601867,,"{'type': 'MultiPoint', 'coordinates': [[-79.3732130454745, 43.7008626446573]]}"
56,952,BE-00197,2790,Bathurst St,Bathurst St,West,Glencairn Ave,North,03435,08,None,Standard,Temporarily Removed,B1503435,,"{'type': 'MultiPoint', 'coordinates': [[-79.4283111882298, 43.7125747144748]]}"
57,953,BE-00201,171,Caledonia Rd,Caledonia Rd,East,Bentworth Ave,South,01021,08,None,Standard,Existing,B1501021,,"{'type': 'MultiPoint', 'coordinates': [[-79.4683874998134, 43.7193437308256]]}"
58,954,BE-00203,811,Lawrence Ave W,Dufferin St,West,Lawrence Ave W,South,01833,08,MarkeTO District,Standard,Existing,B1501833,,"{'type': 'MultiPoint', 'coordinates': [[-79.4548496377533, 43.7137833304357]]}"
59,955,BE-00205,3638,Bathurst St,Hotspur Rd,North,Bathurst St,West,03430,08,None,Standard,Existing,B1503430,,"{'type': 'MultiPoint', 'coordinates': [[-79.4333873192745, 43.7331906306416]]}"
60,961,BE-00877,585,Roselawn Ave,Roselawn Ave,South,Latimer Ave,West,07215,08,None,Mini,Existing,B1607215,,"{'type': 'MultiPoint', 'coordinates': [[-79.4176906993689, 43.7069697802781]]}"
61,962,BE-00880,1476A,Eglinton Ave W,Eglinton Ave W,North,Marlee Ave,West,07092,08,York-Eglinton,Standard,Existing,B1507092,,"{'type': 'MultiPoint', 'coordinates': [[-79.4398671387128, 43.6980095120412]]}"
62,963,BE-00884,4191,Kingston Rd,Kingston Rd,South,Payzac Ave,West,07126,24,None,Standard,Existing,B4307126,,"{'type': 'MultiPoint', 'coordinates': [[-79.1971131508054, 43.7591835102242]]}"
63,965,BE-00888,3000,Bathurst St,Bathurst St,West,Dell Park Ave,South,07216,08,None,Standard,Existing,B1607216,,"{'type': 'MultiPoint', 'coordinates': [[-79.4294654066488, 43.7174532506971]]}"
64,966,BE-00892,555,Oakwood Ave,Oakwood Ave,East,Bude St,North,07107,12,None,Standard,Existing,B1507107,,"{'type': 'MultiPoint', 'coordinates': [[-79.4414554784678, 43.6943973273251]]}"
65,967,BE-00896,6115,Kingston Rd,Lawson Rd,East,Kingston Rd,East,06919,25,None,Standard,Existing,B4406919,,"{'type': 'MultiPoint', 'coordinates': [[-79.1683197808113, 43.7843517248886]]}"
66,968,BE-00898,1512,Kingston Rd,Kingston Rd,North,Manderley Dr,East,07175,20,None,Mini,Existing,B3607175,,"{'type': 'MultiPoint', 'coordinates': [[-79.2690598240556, 43.6891200163466]]}"
67,969,BE-00903,5650,Yonge St,Finch Ave W,North,Yonge St,West,07282,18,Willowdale,Standard,Existing,B2307282,,"{'type': 'MultiPoint', 'coordinates': [[-79.4160818839304, 43.7798040654942]]}"
68,970,BE-00907,1,Milady Rd,Finch Ave W,North,Milady Rd,East,01783,07,None,Standard,Temporarily Removed,B0701783,,"{'type': 'MultiPoint', 'coordinates': [[-79.5640927920343, 43.7475070157349]]}"
69,971,BE-01344,1607,Queen St E,Queen St E,South,Coxwell Ave,West,09217,14,None,Mini,Existing,B3209217,,"{'type': 'MultiPoint', 'coordinates': [[-79.316959106171, 43.666173870546]]}"
70,972,BE-01346,151,Brimley Rd,Brimley Rd,East,Skagway Ave,South,09219,20,None,Standard,Existing,B3609219,,"{'type': 'MultiPoint', 'coordinates': [[-79.2443665130091, 43.7282707328262]]}"
71,973,BE-01347,260,Brimley Rd,Brimley Rd,West,Skagway Ave,North,09220,20,None,Mini,Existing,B3609220,,"{'type': 'MultiPoint', 'coordinates': [[-79.2448345040233, 43.7286014037035]]}"
72,974,BE-01349,55,Livingston Rd,Livingston Rd,East,Catalina Dr,South,09222,24,None,Standard,Existing,B4309222,,"{'type': 'MultiPoint', 'coordinates': [[-79.1981071194049, 43.7449490940142]]}"
73,975,BE-01356,1830,Lawrence Ave E,Pharmacy Ave,West,Lawrence Ave E,North,09229,21,Wexford Heights,Mini,Existing,B3709229,,"{'type': 'MultiPoint', 'coordinates': [[-79.3049058544273, 43.7434899454088]]}"
74,976,BE-01357,2112,Dundas St W,Dundas St W,North,Golden Ave,East,09231,04,None,Mini,Temporarily Removed,B1409231,,"{'type': 'MultiPoint', 'coordinates': [[-79.4489791659403, 43.6526133818865]]}"
75,977,BE-01359,3370,Dundas St W,Runnymede Rd,West,Dundas St W,North,09233,04,None,Mini,Existing,B1309233,,"{'type': 'MultiPoint', 'coordinates': [[-79.4823641438024, 43.6658535154932]]}"
76,978,BE-01363,4709,Dundas St W,Dundas St W,South,Montgomery Rd,West,09238,02,Village of Islington,Standard,Existing,B0409238,,"{'type': 'MultiPoint', 'coordinates': [[-79.5254993561105, 43.6521669950284]]}"
77,979,BE-01366,998,College St,College St,North,Rusholme Rd,West,09249,09,College Promenade,Mini,Existing,B1809249,,"{'type': 'MultiPoint', 'coordinates': [[-79.4285726374658, 43.6532182265221]]}"
78,980,BE-01370,2000,Meadowvale Rd,Zoo Rd,South,Kirkhams Rd,West,T6527,25,None,Standard,Existing,B4206527,,"{'type': 'MultiPoint', 'coordinates': [[-79.1797657457228, 43.8194208238929]]}"
79,981,BE-01376,None,None,Glen Everest Rd,North,Kingston Rd,East,09268,20,None,Standard,Existing,B3609268,,"{'type': 'MultiPoint', 'coordinates': [[-79.2559232569891, 43.698175382021]]}"
80,982,BE-01378,2700,Kingston Rd,St Clair Ave E,South,Brimley Rd,West,09270,20,None,Standard,Existing,B3609270,,"{'type': 'MultiPoint', 'coordinates': [[-79.2416497865817, 43.7207255281317]]}"
81,983,BE-01380,93,Briarscross Blvd,Brimley Rd,East,Finch Ave E,South,09272,23,None,Standard,Existing,B4109272,,"{'type': 'MultiPoint', 'coordinates': [[-79.2769794769031, 43.8052392992155]]}"
82,984,BE-01390,2103,Yonge St,Yonge St,East,Hillsdale Ave E,South,09359,12,Midtown Yonge,Mini,Existing,B2209359,,"{'type': 'MultiPoint', 'coordinates': [[-79.3974859721509, 43.7031251586193]]}"
83,985,BE-01391,2005,Yonge St,Yonge St,East,Glebe Rd E,South,09358,12,Midtown Yonge,Mini,Existing,B2209358,,"{'type': 'MultiPoint', 'coordinates': [[-79.3970046870367, 43.7008213796712]]}"
84,986,BE-01395,1145,Albion Rd,Albion Rd,South,John Grubb Crt,West,09356,01,Albion Islington Square,Standard,Existing,B0109356,,"{'type': 'MultiPoint', 'coordinates': [[-79.5679253721477, 43.7375625729872]]}"
85,987,BE-01018,1770,Albion Rd,Albion Rd,North,Westmore Dr,East,04384,01,None,Standard,Existing,B0104384,,"{'type': 'MultiPoint', 'coordinates': [[-79.6035722159848, 43.7437053284038]]}"
86,989,BE-01029,99,Howard St,Parliament St,West,Howard St,South,06281,13,None,Mini,Existing,B2806281,,"{'type': 'MultiPoint', 'coordinates': [[-79.371161723406, 43.6712628218198]]}"
87,990,BE-01035,411,Jane St,Jane St,East,Baby Point Rd,North,06506,04,Baby Point Gates,Standard,Temporarily Removed,B1306506,,"{'type': 'MultiPoint', 'coordinates': [[-79.4882037407102, 43.6586758586209]]}"
88,991,BE-01037,135,Marlee Ave,Marlee Ave,East,Roselawn Ave,South,06750,08,None,Mini,Existing,B1506750,,"{'type': 'MultiPoint', 'coordinates': [[-79.4408358808247, 43.7019419668578]]}"
89,992,BE-00542,550,Evans Ave,Evans Ave,North,The East Mall,East,06116,03,None,Standard,Existing,B0606116,,"{'type': 'MultiPoint', 'coordinates': [[-79.543335362871, 43.6120891378504]]}"
90,993,BE-00548,1278,The Queensway,The Queensway,North,Kipling Ave,East,04479,03,Shop The Queensway,Standard,Existing,B0504479,,"{'type': 'MultiPoint', 'coordinates': [[-79.5263917756861, 43.6211932588708]]}"
91,994,BE-00550,270,Scarlett Rd,Scarlett Rd,West,East Dr,North,06766,05,None,Standard,Existing,B1106766,,"{'type': 'MultiPoint', 'coordinates': [[-79.5062746411439, 43.6770793776789]]}"
92,1051,BE-00484,2,Sutherland Dr,Sutherland Dr,North,Bayview Ave,East,03592,15,None,Standard,Existing,B2603592,,"{'type': 'MultiPoint', 'coordinates': [[-79.3722134614961, 43.6988501050808]]}"
93,1053,BE-00489,1123,Albion Rd,Albion Rd,South,Islington Ave,West,00058,01,Albion Islington Square,Standard,Existing,B0100058,,"{'type': 'MultiPoint', 'coordinates': [[-79.5662595468674, 43.7372967725369]]}"
94,1054,BE-00493,6432,Finch Ave W,Finch Ave W,West,Albion Rd,South,04389,01,None,Standard,Temporarily Removed,B0104389,,"{'type': 'MultiPoint', 'coordinates': [[-79.5895381009979, 43.7408722686158]]}"
95,1056,BE-00507,326,Rexdale Blvd,Rexdale Blvd,North,Tidemore Ave,West,04491,01,None,Standard,Existing,B0204491,,"{'type': 'MultiPoint', 'coordinates': [[-79.5854518062104, 43.714990022719]]}"
96,1057,BE-00508,25,Forestview Rd,Bloor St W,South,Forestview Rd,East,03176,02,None,Standard,Existing,B0303176,,"{'type': 'MultiPoint', 'coordinates': [[-79.5730711304219, 43.6328219766295]]}"
97,1058,BE-00510,245,Markland Dr,Bloor St W,North,Markland Dr,West,03174,02,None,Standard,Existing,B0303174,,"{'type': 'MultiPoint', 'coordinates': [[-79.5802224897432, 43.6291517792378]]}"
98,1061,BE-00523,29,Sombrero Crt,Steeles Ave W,South,Islington Ave,West,03397,07,None,Standard,Existing,B0703397,,"{'type': 'MultiPoint', 'coordinates': [[-79.5753295084679, 43.76407899419]]}"
99,1062,BE-00527,535,Martin Grove Rd,Martin Grove Rd,East,Eglinton Ave W,North,03296,02,None,Standard,Existing,B0403296,,"{'type': 'MultiPoint', 'coordinates': [[-79.5631288222612, 43.6748736091819]]}"
100,1063,BE-00909,175,Cummer Ave,Willowdale Ave,East,Cummer Ave,South,05906,18,None,Mini,Existing,B2405906,,"{'type': 'MultiPoint', 'coordinates': [[-79.4097356257258, 43.7883905207639]]}"
101,1064,BE-00911,3900,Jane St,Jane St,West,Finch Ave W,South,03486,07,None,Standard,Existing,B0703486,,"{'type': 'MultiPoint', 'coordinates': [[-79.5177041726735, 43.7565522597319]]}"
102,1065,BE-00913,134,Overbrook Pl,Wilmington Ave,West,Overbrook Pl,North,01820,06,None,Standard,Existing,B1001820,,"{'type': 'MultiPoint', 'coordinates': [[-79.4570589236642, 43.7630282922766]]}"
103,1085,BE-00974,990,Wilson Ave,Wilson Ave,North,Cornelius Pkwy,East,00032,06,Wilson Village,Standard,Existing,B0900032,,"{'type': 'MultiPoint', 'coordinates': [[-79.4755547074996, 43.7287898823895]]}"
104,1087,BE-00980,994,Islington Ave,Islington Ave,West,Aberlady Rd,South,00660,03,None,Standard,Existing,B0500660,,"{'type': 'MultiPoint', 'coordinates': [[-79.517402615392, 43.6296517246616]]}"
105,1088,BE-00989,188,The Queensway,The Queensway,North,Aldgate Ave,East,01771,03,None,Standard,Existing,B0501771,,"{'type': 'MultiPoint', 'coordinates': [[-79.4865733391626, 43.6299850333016]]}"
106,1089,BE-00991,2,Neptune Dr,Bathurst St,West,Neptune Dr,North,01836,08,None,Standard,Temporarily Removed,B1501836,,"{'type': 'MultiPoint', 'coordinates': [[-79.4327872047286, 43.7317281553292]]}"
107,1091,BE-00999,515,Drewry Ave,Bathurst St,East,Drewry Ave,Opposite,03117,18,None,Standard,Existing,B2303117,,"{'type': 'MultiPoint', 'coordinates': [[-79.4445690353438, 43.7808670057343]]}"
108,1092,BE-01001,6525,Steeles Ave W,Steeles Ave W,South,Martin Grove Rd,West,03377,01,None,Standard,Existing,B0103377,,"{'type': 'MultiPoint', 'coordinates': [[-79.6036726400667, 43.7576425366438]]}"
109,1093,BE-01005,1400,Gerrard St E,Gerrard St E,North,Woodfield Rd,East,03616,14,Gerrard India Bazaar,Mini,Existing,B3003616,,"{'type': 'MultiPoint', 'coordinates': [[-79.3235030372888, 43.6719967972474]]}"
110,1095,BE-01009,844,Don Mills Rd,Don Mills Rd,West,Wynford Dr,North,03873,16,None,Standard,Existing,B2603873,,"{'type': 'MultiPoint', 'coordinates': [[-79.3398701871334, 43.7232576955064]]}"
111,1096,BE-01011,2288,Islington Ave,Islington Ave,West,Rexdale Blvd,North,04020,01,None,Standard,Existing,B0204020,,"{'type': 'MultiPoint', 'coordinates': [[-79.5553389795941, 43.7152436268414]]}"
112,1097,BE-01013,5,Allenby Ave,Islington Ave,East,Allenby Ave,South,04025,01,None,Standard,Existing,B0204025,,"{'type': 'MultiPoint', 'coordinates': [[-79.5530159289926, 43.7111874451608]]}"
113,1098,BE-01014,364,Evans Ave,Kipling Ave,North,Evans Ave,East,04036,03,None,Standard,Existing,B0604036,,"{'type': 'MultiPoint', 'coordinates': [[-79.5246331837942, 43.6162440182801]]}"
114,1099,BE-00588,288,Wilson Ave,Wilson Ave,North,Bathurst St,West,01821,06,None,Standard,Existing,B1001821,,"{'type': 'MultiPoint', 'coordinates': [[-79.434492180669, 43.7374386060576]]}"
115,1100,BE-00590,98,Leuty Ave,Queen St E,South,Leuty Ave,East,06851,19,The Beach,Mini,Existing,B3206851,,"{'type': 'MultiPoint', 'coordinates': [[-79.2967355101863, 43.6706714095085]]}"
116,1101,BE-00591,1881,Yonge St,Balliol St,North,Yonge St,East,02100,12,Midtown Yonge,Standard,Existing,B2202100,,"{'type': 'MultiPoint', 'coordinates': [[-79.3959193721143, 43.6975325788015]]}"
117,1102,BE-00594,1724,Eglinton Ave W,Eglinton Ave W,North,Locksley Ave,East,07098,08,York-Eglinton,Standard,Existing,B1507098,,"{'type': 'MultiPoint', 'coordinates': [[-79.4469903433011, 43.6964802801919]]}"
118,1103,BE-00599,3193,Dundas St W,Dundas St W,South,St John's Rd,West,05939,04,None,Mini,Existing,B1305939,,"{'type': 'MultiPoint', 'coordinates': [[-79.4764351373676, 43.6654714294253]]}"
119,1104,BE-00606,1116,King St W,King St W,North,Fraser Ave,East,06584,10,None,Standard,Existing,B1406584,,"{'type': 'MultiPoint', 'coordinates': [[-79.4244654044657, 43.6396166269016]]}"
120,1106,BE-00609,1229,Queen St W,Queen St W,South,Gwynne Ave,East,00335,04,Parkdale Village,Standard,Existing,B1400335,,"{'type': 'MultiPoint', 'coordinates': [[-79.4298779624071, 43.6418859105075]]}"
121,1108,BE-00617,1862,Eglinton Ave W,Shortt St,East,Eglinton Ave W,North,07106,08,Fairbank Village,Standard,Existing,B157106C,,"{'type': 'MultiPoint', 'coordinates': [[-79.4515899011266, 43.6956412402396]]}"
122,1109,BE-00621,2215,Queen St E,Queen St E,South,Wineva Ave,West,06846,19,The Beach,Mini,Temporarily Removed,B3206846,,"{'type': 'MultiPoint', 'coordinates': [[-79.2960027752921, 43.670832812213]]}"
123,1110,BE-00629,1858,Avenue Rd,Avenue Rd,West,Old Orchard Grv,South,00022,08,None,Standard,Existing,B1600022,,"{'type': 'MultiPoint', 'coordinates': [[-79.4193391115849, 43.7311940003736]]}"
124,1112,BE-00636,1065,College St,College St,South,Gladstone Ave,West,06862,09,College West,Mini,Existing,B1806862,,"{'type': 'MultiPoint', 'coordinates': [[-79.4311906807639, 43.6527475851866]]}"
125,1113,BE-00638,199,Wilson Ave,Wilson Ave,South,Kelso Ave,West,01859,08,None,Standard,Existing,B1601859,,"{'type': 'MultiPoint', 'coordinates': [[-79.4239013190871, 43.7392663415776]]}"
126,1114,BE-00642,1883,Eglinton Ave W,Eglinton Ave W,South,Dynevor Rd,West,01103,09,Fairbank Village,Standard,Temporarily Removed,B1701103,,"{'type': 'MultiPoint', 'coordinates': [[-79.4516110115543, 43.6953226755273]]}"
127,1115,BE-00645,1923,Eglinton Ave W,Eglinton Ave W,South,Kirknewton Rd,West,01104,09,Fairbank Village,Standard,Existing,B1701104,,"{'type': 'MultiPoint', 'coordinates': [[-79.4526712798689, 43.6950781043227]]}"
